Path Accuracy,DOFs,Error
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.602865,0.75,1.16537
1.1307e-15,1,1
0.602865,0.75,1.16537
3.46549,0.5,3.71549
0.602865,0.75,1.16537
3.01875,0.5,3.26875
0.602865,0.75,1.16537
3.46549,0.5,3.71549
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
1.1307e-15,1,1
0.602865,0.75,1.16537
6.57781,0.5,6.82781
6.57781,0.5,6.82781
6.57781,0.5,6.82781
3.01875,0.5,3.26875
0.602865,0.75,1.16537
3.01875,0.5,3.26875
0.602865,0.75,1.16537
6.57781,0.5,6.82781
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.602865,0.75,1.16537
1.1307e-15,1,1
0.581575,0.75,1.14408
3.46549,0.5,3.71549
25.6389,0.25,25.7014
0.602865,0.75,1.16537
6.57781,0.5,6.82781
1.1307e-15,1,1
0.602865,0.75,1.16537
1.1307e-15,1,1
0.581575,0.75,1.14408
3.46549,0.5,3.71549
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.602865,0.75,1.16537
0.581575,0.75,1.14408
6.57781,0.5,6.82781
6.57781,0.5,6.82781
19.9596,0.5,20.2096
19.9596,0.5,20.2096
3.46549,0.5,3.71549
25.6389,0.25,25.7014
6.57781,0.5,6.82781
25.6389,0.25,25.7014
3.01875,0.5,3.26875
25.6389,0.25,25.7014
3.01875,0.5,3.26875
25.6389,0.25,25.7014
3.46549,0.5,3.71549
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
6.57781,0.5,6.82781
6.57781,0.5,6.82781
6.57781,0.5,6.82781
19.9596,0.5,20.2096
